,ListingNumber,ListingCreationDate,CreditGrade,Term,LoanStatus,ClosedDate,ProsperRating (numeric),ProsperScore,ListingCategory (numeric),Occupation,EmploymentStatus,IsBorrowerHomeowner,Duration,months,Rating
74792,99,2006-01-25 17:48:43.480,HR,36,Defaulted,2007-02-25 00:00:00.000,,,0,,,False,395.0,13.0,HR
46158,127,2006-02-05 20:08:19.823,D,36,Defaulted,2007-07-07 00:00:00.000,,,0,,,False,516.0,17.0,D
15464,156,2006-02-11 14:19:07.560,HR,36,Chargedoff,2008-10-20 00:00:00.000,,,0,,,False,981.0,33.0,HR
98732,157,2006-02-11 14:35:58.890,NC,36,Defaulted,2007-02-19 00:00:00.000,,,0,,,False,372.0,12.0,NC
62887,182,2006-02-13 08:33:55.320,AA,36,Defaulted,2009-06-23 00:00:00.000,,,0,,,False,1225.0,41.0,AA
44408,306,2006-02-14 18:08:57.027,C,36,Defaulted,2008-07-27 00:00:00.000,,,0,,,False,893.0,30.0,C
111115,339,2006-02-15 09:58:53.623,D,36,Chargedoff,2008-07-21 00:00:00.000,,,0,,,False,886.0,30.0,D
43016,517,2006-02-19 21:59:42.577,AA,36,Defaulted,2006-12-22 00:00:00.000,,,0,,,False,305.0,10.0,AA
32483,531,2006-02-20 11:22:18.207,B,36,Defaulted,2006-11-21 00:00:00.000,,,0,,,False,273.0,9.0,B
66180,590,2006-02-21 10:27:40.703,C,36,Defaulted,2006-11-22 00:00:00.000,,,0,,,False,273.0,9.0,C
82705,602,2006-02-21 14:33:55.483,C,36,Chargedoff,2008-03-28 00:00:00.000,,,0,,,False,765.0,26.0,C
53758,631,2006-02-22 08:10:26.297,HR,36,Chargedoff,2007-12-27 00:00:00.000,,,0,,,False,672.0,22.0,HR
25440,640,2006-02-22 10:26:27.537,HR,36,Defaulted,2007-02-26 00:00:00.000,,,0,,,False,368.0,12.0,HR
19457,659,2006-02-22 15:29:56.240,A,36,Defaulted,2007-01-27 00:00:00.000,,,0,,,False,338.0,11.0,A
20932,679,2006-02-23 10:02:00.927,E,36,Defaulted,2006-11-01 00:00:00.000,,,0,,,False,250.0,8.0,E
13068,696,2006-02-23 16:32:39.357,HR,36,Defaulted,2007-09-04 00:00:00.000,,,0,,,False,557.0,19.0,HR
66882,733,2006-02-24 11:04:22.863,NC,36,Defaulted,2007-06-30 00:00:00.000,,,0,,,False,490.0,16.0,NC
76315,777,2006-02-25 13:53:52.160,HR,36,Defaulted,2007-07-07 00:00:00.000,,,0,,,False,496.0,17.0,HR
19498,785,2006-02-25 22:49:38.783,E,36,Chargedoff,2009-07-07 00:00:00.000,,,0,,,False,1227.0,41.0,E
16449,807,2006-02-26 16:31:15.007,E,36,Chargedoff,2009-03-04 00:00:00.000,,,0,,,False,1101.0,37.0,E
37042,817,2006-02-27 05:40:51.547,C,36,Defaulted,2007-05-08 00:00:00.000,,,0,,,False,434.0,14.0,C
10725,934,2006-02-28 16:04:29.340,AA,36,Chargedoff,2007-10-06 00:00:00.000,,,0,,,False,584.0,19.0,AA
93779,948,2006-03-01 03:08:25.490,HR,36,Defaulted,2006-11-08 00:00:00.000,,,0,,,False,251.0,8.0,HR
53327,1033,2006-03-01 17:56:31.873,HR,36,Defaulted,2007-01-14 00:00:00.000,,,0,,,False,318.0,11.0,HR
93588,1039,2006-03-01 19:09:12.597,HR,36,Defaulted,2006-10-06 00:00:00.000,,,0,,,False,218.0,7.0,HR
31112,1086,2006-03-02 11:31:53.760,HR,36,Chargedoff,2007-06-11 00:00:00.000,,,0,,,False,465.0,16.0,HR
38470,1095,2006-03-02 13:09:59.590,E,36,Chargedoff,2008-12-08 00:00:00.000,,,0,,,False,1011.0,34.0,E
80866,1112,2006-03-02 19:00:17.593,HR,36,Defaulted,2006-09-05 00:00:00.000,,,0,,,False,186.0,6.0,HR
48107,1221,2006-03-05 00:34:43.800,B,36,Defaulted,2006-12-09 00:00:00.000,,,0,,,False,278.0,9.0,B
72052,1259,2006-03-05 16:41:44.750,A,36,Defaulted,2006-12-09 00:00:00.000,,,0,,,False,278.0,9.0,A
100078,1272,2006-03-06 04:04:30.430,D,36,Defaulted,2007-10-20 00:00:00.000,,,0,,,False,592.0,20.0,D
88041,1282,2006-03-06 07:40:04.483,E,36,Defaulted,2007-04-13 00:00:00.000,,,0,,,False,402.0,13.0,E
103638,1316,2006-03-06 12:10:48.590,A,36,Chargedoff,2008-02-15 00:00:00.000,,,0,,,False,710.0,24.0,A
102517,1366,2006-03-06 22:36:53.753,HR,36,Defaulted,2006-10-08 00:00:00.000,,,0,,,False,215.0,7.0,HR
3389,1405,2006-03-07 12:51:07.683,D,36,Defaulted,2008-03-15 00:00:00.000,,,0,,,False,738.0,25.0,D
106629,1435,2006-03-07 16:52:30.603,D,36,Chargedoff,2008-04-13 00:00:00.000,,,0,,,False,767.0,26.0,D
36803,1441,2006-03-07 17:47:51.030,HR,36,Defaulted,2006-11-14 00:00:00.000,,,0,,,False,251.0,8.0,HR
20491,1496,2006-03-08 09:08:53.673,HR,36,Chargedoff,2008-06-16 00:00:00.000,,,0,,,False,830.0,28.0,HR
38697,1569,2006-03-08 20:56:16.033,HR,36,Defaulted,2007-05-14 00:00:00.000,,,0,,,False,431.0,14.0,HR
81016,1581,2006-03-09 06:24:29.260,HR,36,Chargedoff,2008-01-09 00:00:00.000,,,0,,,False,670.0,22.0,HR
3285,1594,2006-03-09 08:08:14.443,A,36,Defaulted,2008-04-23 00:00:00.000,,,0,,,False,775.0,26.0,A
